product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,user_id,user_name
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,,64%,4.2,"24,269",AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,,43%,4,"43,994",AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,1899,90%,3.9,"7,928",AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Kunal
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,699,53%,4.2,"94,363",AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Omkar dhale
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,399,61%,4.2,"16,905",AE3Q6KSUK5P75D5HFYHCRAOLODSA,rahuls6099
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,1000,85%,3.9,"24,871",AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Jayesh
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,,499,65%,4.1,"15,188",AG7C6DAADCTRQJG2BRS3RIKDT52Q,Vivek kumar
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229,299,23%,4.3,"30,411",AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Pavan A H
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499,999,50%,4.2,"1,79,691",AGV3IEFANZCKECFGUM42MRH5FNOA,Azhar JuMan
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154,339,55%,4.3,"13,391",AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,Tanya
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",219,700,69%,4.4,"4,26,973",AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,Rishav Gossain
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350,899,61%,4.2,"2,262",AGUAYQHARAKR2VZTRP276KAGETKQ,Priya
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,159,399,60%,4.1,"4,768",AF2XXVO7JUBUVAOBTJ3MNH4DGUFQ,Deepaak Singh
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349,399,13%,4.4,"18,757",AGSGSRTEZBQY64WO2HKQTV7TWFSA,Birendra ku Dash
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999,24999,44%,4.2,"32,840",AHEVOQADJSSRX7DS325HSFLMP7VQ,Manoj maddheshiya
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,499,60%,4.1,"13,045",AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,Rohan Narkar
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490,21990,39%,4.3,"11,976",AHBNKB74LGTYUOKPAJBSKNFV45CA,NIRMAL.N
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1799,46%,4.5,815,AFNYIBWKJLJQKY4BGK77ZOTVMORA,Prasannavijayaraghavan G.
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279,499,44%,3.7,"10,962",AEO5FHWNOSFBT554DKQAG4ICBGFQ,aditya d.
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490,22900,41%,4.3,"16,299",AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,Rahman Ali
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59,199,70%,4,"9,378",AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,$@|\|TO$|-|
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11499,19990,42%,4.3,"4,703",AFSMISGEYDYIP3Z42UTQU4AKOYZQ,Ayush
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",199,699,72%,4.2,"12,153",AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,Yashpreet Singh
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",14999,19999,25%,4.2,"34,899",AFUT7ANZTZYGLXU65EQ2D5OP6UMA,ATHARVA BONDRE
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,399,25%,4,"2,766",AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,Anand sarma
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970,1999,51%,4.4,184,AHZWJCVEIEI76H2VGMUSN5D735IQ,Amazon Customer
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,999,70%,4.3,"20,850",AFA332YHUPB6I7KMME7SOFX5RKQQ,GHOST
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,750,73%,4.5,"74,976",AGBX233C7B7D7YZEL7ZLFWMQKFDQ,Pravin Kumar
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179,499,64%,4,"1,934",AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,Rishabh
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389,1099,65%,4.3,974,AHMKXORT3VNMB75C3EUBYMFYELFQ,Pratyush Pahuja
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0%,4.3,355,AEQWVGESA7TDGK7KZ4DAJQGYH32A,Verified Buyer
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199,999,80%,3.9,"1,075",AF477BP57JM7Z4JD4PYB2K33R6AQ,Placeholder
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899,1900,53%,4.4,"13,552",AF2IRSQZKMBGX44YDNUPYRHWXOZQ,Wraith
